title,genres,vote_average,popularity
Toy Story,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",7.7,21.946943
Jumanji,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.9,17.015539
Grumpier Old Men,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",6.5,11.7129
Waiting to Exhale,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.1,3.859495
Father of the Bride Part II,"[{'id': 35, 'name': 'Comedy'}]",5.7,8.387519
Heat,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.7,17.924927
Sabrina,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.2,6.677277
Tom and Huck,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",5.4,2.561161
Sudden Death,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",5.5,5.23158
GoldenEye,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.6,14.686036
The American President,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5,6.318445
Dracula: Dead and Loving It,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",5.7,5.430331
Balto,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",7.1,12.140733
Nixon,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",7.1,5.092
Cutthroat Island,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",5.7,7.284477
Casino,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.8,10.137389
Sense and Sensibility,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.2,10.673167
Four Rooms,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",6.5,9.026586
Ace Ventura: When Nature Calls,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",6.1,8.205448
Money Train,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",5.4,7.337906
Get Shorty,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.4,12.669608
Copycat,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.5,10.701801
Assassins,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.0,11.065939
Powder,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.3,12.133094
Leaving Las Vegas,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.1,10.332025
Othello,"[{'id': 18, 'name': 'Drama'}]",7.0,1.845899
Now and Then,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.6,8.681325
Persuasion,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.4,2.228434
The City of Lost Children,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",7.6,9.822423
Shanghai Triad,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.5,1.100915
Dangerous Minds,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.4,9.481338
Twelve Monkeys,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",7.4,12.297305
Wings of Courage,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",6.8,0.745542
Babe,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.0,14.404764
Carrington,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.4,1.493361
Dead Man Walking,"[{'id': 18, 'name': 'Drama'}]",7.3,6.891317
Across the Sea of Time,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",3.5,0.114469
It Takes Two,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",6.1,7.777735
Clueless,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.9,9.882383
"Cry, the Beloved Country","[{'id': 18, 'name': 'Drama'}]",6.7,0.894647
Richard III,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",6.9,4.561387
Dead Presidents,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.6,9.87957
Restoration,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.3,10.979269
Mortal Kombat,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",5.4,10.870138
